LatrineID,LONGITUDE_latrine,LATITUDE_latrine,BARIID,unsanitary,sanitary,SEPTIC_RIN,PIPE,DOUBLE_RIN,DRAIN_IN_P,PRIVATE,FAILING,NEAR_DISCH,WATER_BODY,POND_DISTA,POND_VERTI,LONGITUD_Well,LATITUDE_Well,Well_ID,CONCRETE_B,Platform,PRIVATE_1,DEEPWELL,DRINKING,DEPTH_FT,YEAR_INSTALL,Well_age,NEAREST_WA,POND_HD,POND_VD,LAT_HD,LAT_VD,LATRINE_TY,Dist_wellatrine,Unsan100m,SAN100m,Totlatr100m,Village,Longitude,Latitude,Depth,As,Nodrinking,Pop25m,Pop50m,Pop100m,Pop200m,Priming,prime,date,r7,r15,r30,hr7,hr15,hr30,t7,t15,t30,hot7,hot15,hot30,place,r3,hr3,t3,hot3,dateid,ECMPN,ecdetect,month,year,sampleid,WELLID,OBSDATE,TEMP,EC,DO_MGL,PH,ORP,SO4,TCMPND,day,UBA,WTA,ACA,SHA,BRA,WEA,DIST,URBAN,WATER,AGR,SHRUB,BARREN,WETLAND,date0,Rain,HR,Tair,hotday,popden100,ECMPN10,logEC
412,90.65447872,23.35425904,C00133,1,0,1,0,0,1,1,0,1,1,1,-0.3,90.65459569,23.35435661,21603,0,3,1,0,1,35,1996,12,1,25.1,-1.3,16,0,2,16.76,11,17,28,Sardarkandi,90.65459569,23.35435661,10.5,38,4,6,61,189,381,0,0,44,2.15,1.92,0.99,0,0,0,29.59,29.79,30.04,2,6,15,1,0,0,30.59,2,441,0.3,0,5,2008,21603805,21603,5/14/2008,26.36,0.451,0.09,6.99,-12.3,5.314079422,0.25,14,3334.07,8089.81,9259.01,9269.75,981.59,440.73,100,10.62,25.76,29.49,29.52,3.13,1.4,14-May-08,0,0,29,0,8.702694401,3,0.477121255
412,90.65447872,23.35425904,C00133,1,0,1,0,0,1,1,0,1,1,1,-0.3,90.65459569,23.35435661,21603,0,3,1,0,1,35,1996,12,1,25.1,-1.3,16,0,2,16.76,11,17,28,Sardarkandi,90.65459569,23.35435661,10.5,38,4,6,61,189,381,0,0,72,8.72,13.89,13.06,0,2,5,28.17,28.7,27.52,0,3,5,1,7.09,0,28.33,0,721,0.3,0,6,2008,21603806,21603,6/11/2008,26.49,0.404,0.53,6.78,122.9,8,6.834,11,3334.07,8089.81,9259.01,9269.75,981.59,440.73,100,10.62,25.76,29.49,29.52,3.13,1.4,11-Jun-08,15.84,0,28.05,0,8.702694401,3,0.477121255
412,90.65447872,23.35425904,C00133,1,0,1,0,0,1,1,0,1,1,1,-0.3,90.65459569,23.35435661,21603,0,3,1,0,1,35,1996,12,1,25.1,-1.3,16,0,2,16.76,11,17,28,Sardarkandi,90.65459569,23.35435661,10.5,38,4,6,61,189,381,0,0,317,0.94,0.78,1.26,0,0,0,21.55,21.14,19.71,0,0,0,1,0.89,0,21.58,0,3171,0.3,0,2,2009,21603902,21603,2/11/2009,25.92,0.588,0.54,6.81,493.5,10,4.157,11,3334.07,8089.81,9259.01,9269.75,981.59,440.73,100,10.62,25.76,29.49,29.52,3.13,1.4,11-Feb-09,8.28,0,22,0,8.702694401,3,0.477121255
412,90.65447872,23.35425904,C00133,1,0,1,0,0,1,1,0,1,1,1,-0.3,90.65459569,23.35435661,21603,0,3,1,0,1,35,1996,12,1,25.1,-1.3,16,0,2,16.76,11,17,28,Sardarkandi,90.65459569,23.35435661,10.5,38,4,6,61,189,381,0,0,376,6.9,6.97,3.8,1,2,2,29.26,27.68,27.7,1,1,1,1,0.63,0,28.66,0,3761,0.3,0,4,2009,21603904,21603,4/11/2009,26.29,1.17,0.79,8.13,-321,6,14.014,11,3334.07,8089.81,9259.01,9269.75,981.59,440.73,100,10.62,25.76,29.49,29.52,3.13,1.4,11-Apr-09,0,0,30.47,1,8.702694401,3,0.477121255
412,90.65447872,23.35425904,C00133,1,0,1,0,0,1,1,0,1,1,1,-0.3,90.65459569,23.35435661,21603,0,3,1,0,1,35,1996,12,1,25.1,-1.3,16,0,2,16.76,11,17,28,Sardarkandi,90.65459569,23.35435661,10.5,38,4,6,61,189,381,0,0,459,34.37,17.01,17.44,4,4,8,19.87,26.19,28.22,0,8,13,1,62.33,3,27.36,0,4591,0.3,0,7,2009,21603907,21603,7/3/2009,26.27,0.389,0.82,6.86,-1037.3,5,0.502,3,3334.07,8089.81,9259.01,9269.75,981.59,440.73,100,10.62,25.76,29.49,29.52,3.13,1.4,3-Jul-09,108.99,1,26.7,0,8.702694401,3,0.477121255
412,90.65447872,23.35425904,C00133,1,0,1,0,0,1,1,0,1,1,1,-0.3,90.65459569,23.35435661,21603,0,3,1,0,1,35,1996,12,1,25.1,-1.3,16,0,2,16.76,11,17,28,Sardarkandi,90.65459569,23.35435661,10.5,38,4,6,61,189,381,0,0,525,16.09,23,18.1,2,4,8,29.39,28.89,28.93,1,2,5,1,10.94,1,28.77,0,5251,0.3,0,9,2009,21603909,21603,9/7/2009,26.29,0.331,1.02,6.32,-21.5,1,2.549,7,3334.07,8089.81,9259.01,9269.75,981.59,440.73,100,10.62,25.76,29.49,29.52,3.13,1.4,7-Sep-09,16.05,0,29.75,0,8.702694401,3,0.477121255
573,90.65517588,23.35420729,C00075,0,1,1,1,1,0,1,0,1,1,8,-1.8,90.65520114,23.3541762,21605,0,2,1,0,1,40,2001,7,1,6.6,-1.7,0,0,1,4.41,14,14,28,Sardarkandi,90.65520114,23.3541762,12,0,17,29,69,160,417,0,0,44,2.15,1.92,0.99,0,0,0,29.59,29.79,30.04,2,6,15,1,0,0,30.59,2,441,0.3,0,5,2008,21605805,21605,5/14/2008,26.52,0.841,0.4,6.73,39.1,37.89169675,0.25,14,3159.78,6335.31,11427.73,8392.6,1029.82,1029.74,100,10.06,20.18,36.39,26.73,3.28,3.28,14-May-08,0,0,29,0,8.536121201,3,0.477121255
573,90.65517588,23.35420729,C00075,0,1,1,1,1,0,1,0,1,1,8,-1.8,90.65520114,23.3541762,21605,0,2,1,0,1,40,2001,7,1,6.6,-1.7,0,0,1,4.41,14,14,28,Sardarkandi,90.65520114,23.3541762,12,0,17,29,69,160,417,0,0,199,2.57,8.91,9.34,0,4,6,28.36,27.95,28,0,0,0,1,0,0,29.13,0,1991,0.3,0,10,2008,21605810,21605,10/16/2008,26.74,0.459,0.04,7.04,287,18,1.521,16,3159.78,6335.31,11427.73,8392.6,1029.82,1029.74,100,10.06,20.18,36.39,26.73,3.28,3.28,16-Oct-08,0,0,28.73,0,8.536121201,3,0.477121255
573,90.65517588,23.35420729,C00075,0,1,1,1,1,0,1,0,1,1,8,-1.8,90.65520114,23.3541762,21605,0,2,1,0,1,40,2001,7,1,6.6,-1.7,0,0,1,4.41,14,14,28,Sardarkandi,90.65520114,23.3541762,12,0,17,29,69,160,417,0,0,284,2.31,1.44,1.23,0,0,0,18.82,18.65,19.02,0,0,0,1,3.51,0,20.3,0,2841,0.3,0,1,2009,21605901,21605,1/9/2009,,,,,,,1.005,9,3159.78,6335.31,11427.73,8392.6,1029.82,1029.74,100,10.06,20.18,36.39,26.73,3.28,3.28,9-Jan-09,8.22,0,21.8,0,8.536121201,3,0.477121255
573,90.65517588,23.35420729,C00075,0,1,1,1,1,0,1,0,1,1,8,-1.8,90.65520114,23.3541762,21605,0,2,1,0,1,40,2001,7,1,6.6,-1.7,0,0,1,4.41,14,14,28,Sardarkandi,90.65520114,23.3541762,12,0,17,29,69,160,417,0,0,346,1.38,0.94,1.23,0,0,0,27.81,26.78,24.84,0,0,0,1,2.54,0,28.31,0,3461,0.3,0,3,2009,21605903,21605,3/12/2009,26.47,0.958,0.93,7.85,-157.6,33,6.362,12,3159.78,6335.31,11427.73,8392.6,1029.82,1029.74,100,10.06,20.18,36.39,26.73,3.28,3.28,12-Mar-09,1.38,0,26.75,0,8.536121201,3,0.477121255
